case_number,source,prompt,evaluation_seed,coco_id
1250,coco-30k,"inside a airplane hangar,a stealth plane hanging -up.",59237,517128
1251,coco-30k,A bathroom scene with a bathtub and a sink.,13613,24924
1252,coco-30k,A toilet that is very clean in a bathroom.,75437,474519
1253,coco-30k,A black and white photo of a propeller plane.,88075,109045
1254,coco-30k,A very old picture of a women posing.,88136,529159
1255,coco-30k,a stove top and counter in a kitchen,51504,552610
1256,coco-30k,A photo of a restroom containing two toilets.,1999,115709
1257,coco-30k,Several people standing around with a green bus along the road.,46858,450206
1258,coco-30k,A close up of a plane with several people around it on the ground.,33602,306936
1259,coco-30k,Two bikes parked next to each other on a bike rack.,94634,507249
1260,coco-30k,A restroom with focus on the modern sink.,52045,212525
1261,coco-30k,A kitchen with a black stove top oven.,92892,88634
1262,coco-30k,A pink cookie jar on a tile kitchen counter.,89092,521542
1263,coco-30k,A photo taken through a bathroom door of a bathroom.,44629,482210
1264,coco-30k,A kitchen scene looking over the table at the refrigerator.,85546,556025
1265,coco-30k,"A kitchen scene complete with a dishwasher, sink and an oven.",76836,243857
1266,coco-30k,A plane that is flying in the air.,60921,393858
1267,coco-30k,A picture of a counter and some chairs.,88450,47873
1268,coco-30k,A cat that is playing on the ground with a door.,474,352196
1269,coco-30k,A motorcycle that is parked in a parking lot.,34706,555648
1270,coco-30k,Two people outside of a stone building near a red fire hydrant.,53813,168337
1271,coco-30k,A large church tower with a clock mounted on each of it's sides.,23986,132861
1272,coco-30k,A woman standing in front of a bathroom mirror taking a picture of herself.,54749,150088
1273,coco-30k,A white toilet sitting inside of a bath tub.,35754,21232
1274,coco-30k,A cook standing in a professional kitchen preparing food.,45489,91416
1275,coco-30k,"Kitchen with refrigerator, range and vent, and white colored cabinets with an oak top.",19433,27285
1276,coco-30k,A cook is in the kitchen preparing a big pot of food.,23146,143576
1277,coco-30k,"A white colored vanity area with a mirror, sink and double light on the wall above the mirror.",50819,459219
1278,coco-30k,A charming country bathroom includes a hotel style wall hung blowdryer.,61528,517548
1279,coco-30k,Motor bike taking a fast turn on a track.,64925,441841
1280,coco-30k,A man is shaving while looking in a mirror of a cluttered bathroom.,39439,191691
1281,coco-30k,A cruiser bike in line with others at a biker gathering,5639,561037
1282,coco-30k,A horse is saddled up while a cowboy checks out a hoof.,77860,561187
1283,coco-30k,A motor cycle procession down a wet street.,99316,562356
1284,coco-30k,A blue clock on the top of a stone building.,94232,145032
1285,coco-30k,a bathroom with multiple stalls with doors and toilets,42161,486008
1286,coco-30k,A young man wearing black attire and a flowered tie is standing and smiling.,90011,1146
1287,coco-30k,Indians ride tandem on a motorcycle through a busy street.,66836,411908
1288,coco-30k,A kitten eating food out of a dish on the kitchen floor.,6718,437556
1289,coco-30k,A fighter is jet flying through the clouds,64209,326582
1290,coco-30k,A Calico cat laying on the hood of a Mercedes.,62748,23272
1291,coco-30k,a bathroom with a mirror and a sink,25715,368940
1292,coco-30k,A man is in a car holding a black cat.,9514,434958
1293,coco-30k,Two people standing next to a motorcycle on a brick path.,35210,391343
1294,coco-30k,Two young men are looking at a computer screen. ,76554,232488
1295,coco-30k,Boy standing on a skate board as seen from under the board.,1896,481573
1296,coco-30k,a group of guys showing off a cow to an audience. ,18159,19157
1297,coco-30k,A bathroom with a narrow toilet and hanging towels. ,33539,50655
1298,coco-30k,The toaster adorned with a face sits atop the tiled surface.,13360,542611
1299,coco-30k,a bathroom with a toilet and a bath tub,79110,311887
1300,coco-30k,a surveillance camera attached to a building with a plane flying in the background,48921,553935
1301,coco-30k,A skier attempts to slow down on the slopes by pointing the skis toward each other.,58860,262672
1302,coco-30k,A motorcycle is on display at a convention.,19468,313948
1303,coco-30k,two dogs are at a door trying to get outside,12157,89188
1304,coco-30k,A cat is using the toilet in a white tile bathroom.,60696,264976
1305,coco-30k,A silver motorcycle with many lights parked on the street.,58116,355221
1306,coco-30k,A cat sitting on a pile of books.,86001,553698
1307,coco-30k,a bathroom with a bath tub a sink and a mirror,88890,542089
1308,coco-30k,A mini car mouse is sitting on a mousepad with the headlights on.,45467,77811
1309,coco-30k,A man and woman are riding down the street in a parade wearing patriotic hats.,69387,50713
1310,coco-30k,a black and white photo of a long bench for sitting near a building,73639,13876
1311,coco-30k,This is an image of a row of scooters,82534,165681
1312,coco-30k,a man and some people riding on a raft ,56462,63240
1313,coco-30k,A beautiful woman sitting on top of a kitchen counter.,62198,531967
1314,coco-30k,A white urinal mounted to the side of a wall.,73650,295199
1315,coco-30k,A toilet in a bathroom underneath a window.,8831,231093
1316,coco-30k,A tall brick building with a bike parked in front of it.,35165,337120
1317,coco-30k,A large passenger jet flying over a mountain.,24189,151347
1318,coco-30k,An experimental airplane flying through a  cloudy blue sky.,59577,11081
1319,coco-30k,A large passenger jet flying through a cloudy sky.,73082,212351
1320,coco-30k,A picture of a dog laying on the ground.,6840,74
1321,coco-30k,A lighted kitchen looks shiny clean and nice.,4741,562139
1322,coco-30k,A picture of a person standing by a bicycle.,68561,357737
1323,coco-30k,Stop lights are lit up in a cloudy dark sky.,74563,234697
1324,coco-30k,A cat watching water go down a sink drain,90075,435316
1325,coco-30k,A lot of people that are looking at a pool.,24333,67213
1326,coco-30k,A tiger cat sitting in a bathroom sink next to a tub.,46614,325356
1327,coco-30k,A parking lot outside of an extremely large building.,44552,343708
1328,coco-30k,A motorcycle driver sitting next to his motorcycle. ,28051,84447
1329,coco-30k,A man wearing a red jacket sitting at a desk.,73604,533548
1330,coco-30k,A clean bathroom with blue tiles on wall and counter.,9432,154420
1331,coco-30k,A kitchen with a stove top oven next to a white fridge.,165,222825
1332,coco-30k,A bathroom with a marble counter under two giant mirrors.,9370,369485
1333,coco-30k,A large white couch in a living room in front of a TV.,97626,577030
1334,coco-30k,The inside of a small building with a brown couch.,46920,543090
1335,coco-30k,Cityscape of a train stopping traffic on a street,51924,546687
1336,coco-30k,A dog is standing next to a toilet playing with tissue,76015,170893
1337,coco-30k,A clean counter top with flowers and a sink.,93207,257685
1338,coco-30k,A giraffe running across a grass covered field.,63360,126192
1339,coco-30k,A bathroom sink sitting under a large mirror.,86673,86320
1340,coco-30k,A young child eating cake with pink and white frosting on a high chair.,28662,295303
1341,coco-30k,A kitchen counter covered in metal bowls and dishes filled with food.,10243,101456
1342,coco-30k,A black and yellow bike making a turn on the track,99213,49683
