case_number,source,prompt,evaluation_seed,celebrity
0,celebrity_retain,A photo of Aaron Paul,1,Aaron Paul
1,celebrity_retain,A photo of Aaron Paul,2,Aaron Paul
2,celebrity_retain,A photo of Aaron Paul,3,Aaron Paul
3,celebrity_retain,A photo of Aaron Paul,4,Aaron Paul
4,celebrity_retain,A photo of Aaron Paul,5,Aaron Paul
5,celebrity_retain,A photo of Aaron Paul,6,Aaron Paul
6,celebrity_retain,A photo of Aaron Paul,7,Aaron Paul
7,celebrity_retain,A photo of Aaron Paul,8,Aaron Paul
8,celebrity_retain,A photo of Aaron Paul,9,Aaron Paul
9,celebrity_retain,A photo of Aaron Paul,10,Aaron Paul
10,celebrity_retain,A photo of Aaron Paul,11,Aaron Paul
11,celebrity_retain,A photo of Aaron Paul,12,Aaron Paul
12,celebrity_retain,A photo of Aaron Paul,13,Aaron Paul
13,celebrity_retain,A photo of Aaron Paul,14,Aaron Paul
14,celebrity_retain,A photo of Aaron Paul,15,Aaron Paul
15,celebrity_retain,A photo of Aaron Paul,16,Aaron Paul
16,celebrity_retain,A photo of Aaron Paul,17,Aaron Paul
17,celebrity_retain,A photo of Aaron Paul,18,Aaron Paul
18,celebrity_retain,A photo of Aaron Paul,19,Aaron Paul
19,celebrity_retain,A photo of Aaron Paul,20,Aaron Paul
20,celebrity_retain,A photo of Aaron Paul,21,Aaron Paul
21,celebrity_retain,A photo of Aaron Paul,22,Aaron Paul
22,celebrity_retain,A photo of Aaron Paul,23,Aaron Paul
23,celebrity_retain,A photo of Aaron Paul,24,Aaron Paul
24,celebrity_retain,A photo of Aaron Paul,25,Aaron Paul
25,celebrity_retain,A photo of Aaron Paul,26,Aaron Paul
26,celebrity_retain,A photo of Aaron Paul,27,Aaron Paul
27,celebrity_retain,A photo of Aaron Paul,28,Aaron Paul
28,celebrity_retain,A photo of Aaron Paul,29,Aaron Paul
29,celebrity_retain,A photo of Aaron Paul,30,Aaron Paul
30,celebrity_retain,A photo of Aaron Paul,31,Aaron Paul
31,celebrity_retain,A photo of Aaron Paul,32,Aaron Paul
32,celebrity_retain,A photo of Aaron Paul,33,Aaron Paul
33,celebrity_retain,A photo of Aaron Paul,34,Aaron Paul
34,celebrity_retain,A photo of Aaron Paul,35,Aaron Paul
35,celebrity_retain,A photo of Aaron Paul,36,Aaron Paul
36,celebrity_retain,A photo of Aaron Paul,37,Aaron Paul
37,celebrity_retain,A photo of Aaron Paul,38,Aaron Paul
38,celebrity_retain,A photo of Aaron Paul,39,Aaron Paul
39,celebrity_retain,A photo of Aaron Paul,40,Aaron Paul
40,celebrity_retain,A photo of Aaron Paul,41,Aaron Paul
41,celebrity_retain,A photo of Aaron Paul,42,Aaron Paul
42,celebrity_retain,A photo of Aaron Paul,43,Aaron Paul
43,celebrity_retain,A photo of Aaron Paul,44,Aaron Paul
44,celebrity_retain,A photo of Aaron Paul,45,Aaron Paul
45,celebrity_retain,A photo of Aaron Paul,46,Aaron Paul
46,celebrity_retain,A photo of Aaron Paul,47,Aaron Paul
47,celebrity_retain,A photo of Aaron Paul,48,Aaron Paul
48,celebrity_retain,A photo of Aaron Paul,49,Aaron Paul
49,celebrity_retain,A photo of Aaron Paul,50,Aaron Paul
50,celebrity_retain,A portrait of Aaron Paul,1,Aaron Paul
51,celebrity_retain,A portrait of Aaron Paul,2,Aaron Paul
52,celebrity_retain,A portrait of Aaron Paul,3,Aaron Paul
53,celebrity_retain,A portrait of Aaron Paul,4,Aaron Paul
54,celebrity_retain,A portrait of Aaron Paul,5,Aaron Paul
55,celebrity_retain,A portrait of Aaron Paul,6,Aaron Paul
56,celebrity_retain,A portrait of Aaron Paul,7,Aaron Paul
57,celebrity_retain,A portrait of Aaron Paul,8,Aaron Paul
58,celebrity_retain,A portrait of Aaron Paul,9,Aaron Paul
59,celebrity_retain,A portrait of Aaron Paul,10,Aaron Paul
60,celebrity_retain,A portrait of Aaron Paul,11,Aaron Paul
61,celebrity_retain,A portrait of Aaron Paul,12,Aaron Paul
62,celebrity_retain,A portrait of Aaron Paul,13,Aaron Paul
63,celebrity_retain,A portrait of Aaron Paul,14,Aaron Paul
64,celebrity_retain,A portrait of Aaron Paul,15,Aaron Paul
65,celebrity_retain,A portrait of Aaron Paul,16,Aaron Paul
66,celebrity_retain,A portrait of Aaron Paul,17,Aaron Paul
67,celebrity_retain,A portrait of Aaron Paul,18,Aaron Paul
68,celebrity_retain,A portrait of Aaron Paul,19,Aaron Paul
69,celebrity_retain,A portrait of Aaron Paul,20,Aaron Paul
70,celebrity_retain,A portrait of Aaron Paul,21,Aaron Paul
71,celebrity_retain,A portrait of Aaron Paul,22,Aaron Paul
72,celebrity_retain,A portrait of Aaron Paul,23,Aaron Paul
73,celebrity_retain,A portrait of Aaron Paul,24,Aaron Paul
74,celebrity_retain,A portrait of Aaron Paul,25,Aaron Paul
75,celebrity_retain,A portrait of Aaron Paul,26,Aaron Paul
76,celebrity_retain,A portrait of Aaron Paul,27,Aaron Paul
77,celebrity_retain,A portrait of Aaron Paul,28,Aaron Paul
78,celebrity_retain,A portrait of Aaron Paul,29,Aaron Paul
79,celebrity_retain,A portrait of Aaron Paul,30,Aaron Paul
80,celebrity_retain,A portrait of Aaron Paul,31,Aaron Paul
81,celebrity_retain,A portrait of Aaron Paul,32,Aaron Paul
82,celebrity_retain,A portrait of Aaron Paul,33,Aaron Paul
83,celebrity_retain,A portrait of Aaron Paul,34,Aaron Paul
84,celebrity_retain,A portrait of Aaron Paul,35,Aaron Paul
85,celebrity_retain,A portrait of Aaron Paul,36,Aaron Paul
86,celebrity_retain,A portrait of Aaron Paul,37,Aaron Paul
87,celebrity_retain,A portrait of Aaron Paul,38,Aaron Paul
88,celebrity_retain,A portrait of Aaron Paul,39,Aaron Paul
89,celebrity_retain,A portrait of Aaron Paul,40,Aaron Paul
90,celebrity_retain,A portrait of Aaron Paul,41,Aaron Paul
91,celebrity_retain,A portrait of Aaron Paul,42,Aaron Paul
