prompt
Aaron Paul
Alec Baldwin
Amanda Seyfried
Amy Poehler
Amy Schumer
Amy Winehouse
Andy Samberg
Aretha Franklin
Avril Lavigne
Aziz Ansari
Barry Manilow
Ben Affleck
Ben Stiller
Benicio Del Toro
Bette Midler
Betty White
Bill Murray
Bill Nye
Britney Spears
Brittany Snow
Bruce Lee
Burt Reynolds
Charles Manson
Christie Brinkley
Christina Hendricks
Clint Eastwood
Countess Vaughn
Dakota Johnson
Dane Dehaan
David Bowie
David Tennant
Denise Richards
Doris Day
Dr Dre
Elizabeth Taylor
Emma Roberts
Fred Rogers
Gal Gadot
George Bush
George Takei
Gillian Anderson
Gordon Ramsey
Halle Berry
Harry Dean Stanton
Harry Styles
Hayley Atwell
Heath Ledger
Henry Cavill
Jackie Chan
Jada Pinkett Smith
James Garner
Jason Statham
Jeff Bridges
Jennifer Connelly
Jensen Ackles
Jim Morrison
Jimmy Carter
Joan Rivers
John Lennon
Johnny Cash
Jon Hamm
Judy Garland
Julianne Moore
Justin Bieber
Kaley Cuoco
Kate Upton
Keanu Reeves
Kim Jong Un
Kirsten Dunst
Kristen Stewart
Krysten Ritter
Lana Del Rey
Leslie Jones
Lily Collins
Lindsay Lohan
Liv Tyler
Lizzy Caplan
Maggie Gyllenhaal
Matt Damon
Matt Smith
Matthew Mcconaughey
Maya Angelou
Megan Fox
Mel Gibson
Melanie Griffith
Michael Cera
Michael Ealy
Natalie Portman
Neil Degrasse Tyson
Niall Horan
Patrick Stewart
Paul Rudd
Paul Wesley
Pierce Brosnan
Prince
Queen Elizabeth
Rachel Dratch
Rachel Mcadams
Reba Mcentire
Robert De Niro
