case_number,source,prompt,evaluation_seed,coco_id
0,cifar100,the beaver,42158,0
1,cifar100,the dolphin,67234,0
2,cifar100,the otter,53891,0
3,cifar100,the seal,19672,0
4,cifar100,the whale,88345,0
5,cifar100,the aquarium fish,71429,0
6,cifar100,the flatfish,34567,0
7,cifar100,the ray,95812,0
8,cifar100,the shark,46293,0
9,cifar100,the trout,62741,0
10,cifar100,the orchids,18935,0
11,cifar100,the poppies,74682,0
12,cifar100,the roses,39217,0
13,cifar100,the sunflowers,85463,0
14,cifar100,the tulips,51928,0
15,cifar100,the bottles,27394,0
16,cifar100,the bowls,93756,0
17,cifar100,the cans,64182,0
18,cifar100,the cups,38549,0
19,cifar100,the plates,79261,0
20,cifar100,the apples,45817,0
21,cifar100,the mushrooms,12374,0
22,cifar100,the oranges,68925,0
23,cifar100,the pears,31468,0
24,cifar100,the sweet peppers,87593,0
25,cifar100,the clock,54126,0
26,cifar100,the computer keyboard,29741,0
27,cifar100,the lamp,76385,0
28,cifar100,the telephone,43917,0
29,cifar100,the television,19582,0
30,cifar100,the bed,65234,0
31,cifar100,the chair,32897,0
32,cifar100,the couch,98461,0
33,cifar100,the table,56728,0
34,cifar100,the wardrobe,24135,0
35,cifar100,the bee,81674,0
36,cifar100,the beetle,47392,0
37,cifar100,the butterfly,13825,0
38,cifar100,the caterpillar,69538,0
39,cifar100,the cockroach,36241,0
40,cifar100,the bear,92867,0
41,cifar100,the leopard,58419,0
42,cifar100,the cat,25736,0
43,cifar100,the tiger,71982,0
44,cifar100,the wolf,48365,0
45,cifar100,the bridge,14729,0
46,cifar100,the castle,61483,0
47,cifar100,the house,37856,0
48,cifar100,the road,84192,0
49,cifar100,the skyscraper,52674,0
50,cifar100,the cloud,29138,0
51,cifar100,the forest,75491,0
52,cifar100,the mountain,41825,0
53,cifar100,the plain,18267,0
54,cifar100,the sea,64739,0
55,cifar100,the camel,31582,0
56,cifar100,the cattle,97246,0
57,cifar100,the chimpanzee,53918,0
58,cifar100,the elephant,29374,0
59,cifar100,the kangaroo,76821,0
60,cifar100,the fox,42195,0
61,cifar100,the porcupine,18637,0
62,cifar100,the possum,65492,0
63,cifar100,the raccoon,31856,0
64,cifar100,the skunk,88274,0
65,cifar100,the crab,54619,0
66,cifar100,the lobster,21738,0
67,cifar100,the snail,78392,0
68,cifar100,the spider,45126,0
69,cifar100,the worm,12583,0
70,cifar100,the baby,69847,0
71,cifar100,the boy,36214,0
72,cifar100,the girl,93568,0
73,cifar100,the man,51927,0
74,cifar100,the woman,28394,0
75,cifar100,the crocodile,74651,0
76,cifar100,the dinosaur,41285,0
77,cifar100,the lizard,17839,0
78,cifar100,the snake,64172,0
79,cifar100,the turtle,39526,0
80,cifar100,the hamster,86743,0
81,cifar100,the mouse,52391,0
82,cifar100,the rabbit,28754,0
83,cifar100,the shrew,75218,0
84,cifar100,the squirrel,41682,0
85,cifar100,the maple,18345,0
86,cifar100,the oak,65729,0
87,cifar100,the palm,32184,0
88,cifar100,the pine,98567,0
89,cifar100,the willow,54821,0
90,cifar100,the bicycle,21439,0
91,cifar100,the bus,77692,0
92,cifar100,the motorcycle,43158,0
93,cifar100,the pickup truck,19724,0
94,cifar100,the train,66381,0
95,cifar100,the lawn-mower,32945,0
96,cifar100,the rocket,89217,0
97,cifar100,the streetcar,55673,0
98,cifar100,the tank,22186,0
99,cifar100,the tractor,78439,0
