case_number,source,prompt,evaluation_seed,celebrity
563920,mscoco,Two bananas sitting on a floor next to a pile of pennies.,50627,
500473,mscoco,A big market with bins full of piles of produce.,73394,
418816,mscoco,A man waling his bike along a road with cars.,97402,
469088,mscoco,Two dogs that are standing up holding each other.,12889,
390246,mscoco,A surfer teeters on the top of a wave.,65772,
37678,mscoco,A train sitting under a display inside a building.,89641,
104422,mscoco,A man wearing a tie and suspenders is standing with his hands in his pockets.,42964,
391834,mscoco,A man is walking while holding a racket on a tennis court.,21192,
186083,mscoco,A man is holding a camera on a rig while skateboarding in a parking lot.,56699,
37181,mscoco,A motorcycle parked next to a  car in a  parking lot.,92013,
185773,mscoco,a cat sitting in a sink with its eyes open,70934,
249909,mscoco,A giraffe grazing from shrubs next to the road,39090,
20470,mscoco,two giraffe heads standing close to each other,5417,
11364,mscoco,A black bear walking across a lush green field.,91509,
232574,mscoco,Someone has taken a picture of the rear end of this elephant.,7553,
547224,mscoco,Orange and black uniformed worker standing outside of moving train.,50824,
393410,mscoco,A  large air plane flying in the blue sky.,92129,
67075,mscoco,"close up of a plant with large, gray leaves",36777,
238090,mscoco,A bathroom with an enclosed shower door next to a toilet.,78674,
114871,mscoco,A plate with a banana and slices of cheese.,18622,
70813,mscoco,A cozy bed stands between two windows within an upstairs bedroom.,99878,
189203,mscoco,Two photos of an airplane in the air.,51602,
561938,mscoco,Two adult elephants are surrounding a baby elephant,95668,
324266,mscoco,The bathroom is clean for the guests to use.,11558,
224238,mscoco,a pic with a hydrant outside in the field,23460,
505977,mscoco,The circular bed has a chandelier above it.,54857,
297910,mscoco,A big city full of people and many animals too.,88637,
439426,mscoco,A left hand holding a glazed doughnut over a tiled floor.,19682,
157593,mscoco,A pair of people stand with a soccer ball in the middle of them.,60631,
31446,mscoco,four fighter jets flying through the air in formation,48052,
280498,mscoco,A kitchen that is very clean in a house.,12003,
231364,mscoco,A bear sits down on the ground with sand.,94182,
542625,mscoco,A bird sits on a parking meter with several parked cars in the street.,7495,
118584,mscoco,some elephants in a field of grass near a tree,79999,
380842,mscoco,a street sign on the corner with buildings in the background,14491,
383406,mscoco,cats laying on a desk near a couple monitors and a keyboard,57187,
304186,mscoco,A man in a grey shirt on a grey couch playing a videogame.,55253,
200252,mscoco,Two green shoes lined up on a bed.,24224,
278306,mscoco,A bird that is sitting on top of a tree.,4906,
344875,mscoco,"Crepes on a plate, topped with bananas and powdered sugar.",5016,
204448,mscoco,"A kitchen complete with a microwave, sink, and dishwasher.",18232,
106736,mscoco,Blue plate holding a mound of chocolate deserts.,92244,
146190,mscoco,A person is in the grass holding a frisbee.,24807,
444491,mscoco,A man riding up the side of an empty swimming pool.,22523,
457754,mscoco,Four men are photographed signing important documents at work.,21058,
259112,mscoco,A bald cat sleeping on a blanket on top of a bed.,46314,
564636,mscoco,A person is performing a trick on skis.,59468,
432647,mscoco,Three street signs located next to a brick building.,51075,
121692,mscoco,Young Giraffe peeking his head into a crevice in the exhibit wall.,69975,
64718,mscoco,there is a male tennis player about to hit the ball,79390,
558809,mscoco,A cutting board with cut broccoli and a knife.,96853,
213951,mscoco,A brown horse walking up the side of a hill.,10483,
493695,mscoco,A city street filled with traffic at night.,29943,
12947,mscoco,A man standing on the side of a commuter train.,55286,
168781,mscoco,A well-dressed woman rides a white horse at a racetrack.,3955,
372362,mscoco,Girl holding an umbrella on a horse drawn carriage,43145,
554537,mscoco,A man is holding a couple of traffic lights on the side of the road.,30301,
213773,mscoco,a close up of a woman wearing a shirt and tie,34207,
530052,mscoco,Carrots are sitting on the stand outside in a bunch,20054,
400567,mscoco,A kitchen area with dining table and refrigerator.,58337,
99567,mscoco,"Two red buses, headed to the same place, are right next to each other on the road.",53063,
188862,mscoco,Two boys are playing soccer on the grass.,99987,
168096,mscoco,some cars on a wet street buildings and traffic lights,60782,
496090,mscoco,A man riding a skateboard down a street.,43941,
299200,mscoco,A man riding a skateboard on a wooden ramp.,65624,
329687,mscoco,A dog and a couple sitting on a wood bench.,28122,
542637,mscoco,Two horses in a field on the other side of a fence,72378,
495541,mscoco,Three white storks with black legs and beaks wading in some water.,41917,
23895,mscoco,A man at a skate park showing a trick on his skateboard,78631,
272635,mscoco,A large white bird flying over a rock cliff side.,96343,
330880,mscoco,A man sits in front of an elevated pizza.,24511,
502927,mscoco,A guy is riding on a motorcycle on a dirt track.,70692,
169606,mscoco,A black bear standing on top of a rocky hillside.,27436,
176149,mscoco,A street sign slightly knocked over next to a rural road.,97044,
391857,mscoco,A seagull standing near a body of water.,20133,
579814,mscoco,This airplane is taking off in the air near other airplanes.,38249,
510329,mscoco,A tourist unfolds an umbrella near ancient ruins.,89564,
404618,mscoco,a black and yellow fire hydrant is near the street,56697,
122229,mscoco,Two men taking care of an elephant near stairs.,40053,
496213,mscoco,A vintage photo of a man in a suite and tie.,19116,
88335,mscoco,A boy skateboarder making a high jump in a parking lot.,72145,
