case_number,source,prompt,evaluation_seed,coco_id
5000,coco-30k,A white toilet sitting under a bathroom window.,32128,134649
5001,coco-30k,A black cat is sitting in a bathroom sink.,11541,501523
5002,coco-30k,A woman takes a selfie picture with a giraffe in the background.,90880,315018
5003,coco-30k,Raw mango and orange and ripe bananas in a bowl,64326,352618
5004,coco-30k,a dark living room with some light from the long windows and lights on the mantle ,38837,270603
5005,coco-30k,It's wondrous how that big airplane manages to stay up in the sky.,50433,407826
5006,coco-30k,A busy intersection with many cars and traffic lanes lies beneath an overpass.,16835,553879
5007,coco-30k,A toilet bowl with a tall white tank has a plunger type flush button.,4008,96492
5008,coco-30k,Someone has crawled under the plane to check that everything is operational.,64116,139871
5009,coco-30k,A kitchen with a microwave oven next to a stove top oven.,6786,408805
5010,coco-30k,The chef is preparing many flatbread pizza's for the lunch crowd.,30782,357743
5011,coco-30k,Man bending down to check out a model plain that is parked in the grass,69122,150410
5012,coco-30k,two hairy dogs lying on a bed cover looking,34841,383780
5013,coco-30k,The kitchen has shiny counter tops and brown wood-grain cabinets.,26172,482022
5014,coco-30k,Putting a used toilet out with the trash is certainly not appropriate.,13381,279024
5015,coco-30k,"A bathroom with walk-in shower, deep tub and sink overlooks other townhouses",24255,192291
5016,coco-30k,The single propelleor airplane slowly takes off from the airport.,27438,40485
5017,coco-30k,A modern bathroom with hardwood flooring and counter tops. ,84156,389804
5018,coco-30k,A cat laying in a green bowl on a wooden table.,38329,125850
5019,coco-30k,A motorcycle and people looking a travel vehicles.,9958,144300
5020,coco-30k,A baby sitting on a females lap staring into the camera.,96141,413552
5021,coco-30k,People are milling about on a city street. ,42873,308358
5022,coco-30k,A woman is standing in her kitchen posing for a photo. ,75300,303626
5023,coco-30k,"A bathroom is shown with a toilet, sink, and shower.",16242,77486
5024,coco-30k,A bathroom sink with wood finish cabinets. ,26620,67727
5025,coco-30k,"A bathroom sink with a toothbrush, soap dispenser and mirror.",56600,328091
5026,coco-30k,"A bathroom with a toilet, shower stall and a mirror.",54154,249356
5027,coco-30k,An assortment of flying objects including kites and airplanes hung inside a building.,17026,329946
5028,coco-30k,A motorcycle is sitting on the side of the road next to a sign. ,7556,454978
5029,coco-30k,Woman riding a bicycle on the road in the city.,50362,243825
5030,coco-30k,A white toilet sitting next to a white sink in a bathroom.,26238,34701
5031,coco-30k,A white toilet sitting in a bathroom next to a tile wall.,9287,256156
5032,coco-30k,A clean kitchen island with plants on the island.,57552,78260
5033,coco-30k,A man walking behind a row of parked cars holding an umbrella.,6973,536725
5034,coco-30k,A girl sits on a pillow thinking and writing into a notebook.,75040,87328
5035,coco-30k,A group of people standing around tables next to a jet.,97149,318778
5036,coco-30k,A person riding a pink motorcycle down a street.,71483,144795
5037,coco-30k,A pink motor scooter parked in a parking space.,52243,168890
5038,coco-30k,A white airplane parked on a runway under a blue sky.,56733,479912
5039,coco-30k,A long counter holding an assortment of coffee related items.,20977,407115
5040,coco-30k,a colorful motorcycle sitting next to a fence ,29165,408830
5041,coco-30k,"A green tile bathroom with sink, drawers, toilet, and window.",15270,132342
5042,coco-30k,A claw foot bathtub stands in the middle of a pristine white bathroom.,44249,573993
5043,coco-30k,A tie-dyed cyclist stands beside his bicycle in front of fellow cyclists.,31948,555622
5044,coco-30k,A kitchen that is kind of cluttered with lots of jugs.,28787,461030
5045,coco-30k,Two airplanes release smoke while flying near each other.,38683,215815
5046,coco-30k,A line of parked motorcycles with the edges of image blurred.,498,457848
5047,coco-30k,A small bathroom with marble tiles and counter.,26580,27982
5048,coco-30k,A pair of conjoined stalls in a public restroom,9839,555894
5049,coco-30k,Each of the three bathroom stalls have trash cans beside the toilets.,11174,141709
5050,coco-30k,An evening city scene with blurred images of cars driving by,76281,113251
5051,coco-30k,A variety of old motorcycles on display in a shop,66906,120810
5052,coco-30k,The sculpture is of five people in clown costumes riding one long bike.,35047,424464
5053,coco-30k,a clock on top of a building indicating that it is eleven o'clock,514,359148
5054,coco-30k,Giant statues of cows and a Ghana airplane,45160,504101
5055,coco-30k,The black cat is laying on top of books on the shelf. ,28776,214184
5056,coco-30k,A bicycle carries a cake from Dairy Queen on its back.,69066,234533
5057,coco-30k,A powder room in Morocco with an arched doorway and white towels on a brass stand.,16307,129988
5058,coco-30k,a cat lays down next to a glass with a straw in it ,33239,426101
5059,coco-30k,a black and white cat a chair and some bicycles,33172,371890
5060,coco-30k,a blue yellow and white jet parked and some grass,5140,298433
5061,coco-30k,a red and blue plan on the runway getting ready to get passengers ,27406,579158
5062,coco-30k,a group of people are crammed in a small area on motor bikes ,72909,41570
5063,coco-30k,A group of jets are flying together in a tight formation,60503,187989
5064,coco-30k,The cat was eating out of her bowl which was sitting on the floor.,99201,526721
5065,coco-30k,He was standing in the kitchen by the stove talking on the telephone.,8448,71306
5066,coco-30k,a big cat sitting in a little bowl ,56278,213445
5067,coco-30k,A moped is parked next to bicycles on a sidewalk.,75233,259830
5068,coco-30k,people walking around and looking at assorte motorcycles ,46239,171685
5069,coco-30k,cars wait on a street at a red light in a city,72667,102741
5070,coco-30k,A couple of giraffe standing on top of a field near a rock mountain.,54982,528232
5071,coco-30k,This basic kitchen has tools sitting on the floor,77679,248111
5072,coco-30k,a rainbow umbrella some bicycles a fence and some grass,37323,325867
5073,coco-30k,A close up of an orange in a red serving bowl.,793,123511
5074,coco-30k,A commercial Hawaiian airlines airplane from side view on pavement of airfield with a building in background.,9829,95561
5075,coco-30k,Some rocks are collected in a corner in this room,66800,264191
5076,coco-30k,A light blue airplane sits in the airport waiting to depart,40627,8005
5077,coco-30k,A biplane takes flight on a sunny day,11942,474788
5078,coco-30k,These scantily clad people are enjoying a party,15102,362778
5079,coco-30k,This green dufell bag sits next to a brown seat,20646,303365
5080,coco-30k,"A room with a Tv, potted plant, tables and chairs",22617,440475
5081,coco-30k,A large open room with a long white staircase.,22979,297620
5082,coco-30k,A young girl holding a colorful kite on a sandy beach.,66167,248965
5083,coco-30k,A large group of bicyclists on a city street.,94628,133608
5084,coco-30k,A group of avaitors standing on an airport runway.,19523,392144
5085,coco-30k,"The television, in a plastic cow, is on.",59668,180383
5086,coco-30k,A table set for a traditional Thanksgiving dinner.,9020,276127
5087,coco-30k,a man riding a dirt bike in the sand,16276,404263
5088,coco-30k,a man leaping into the air and holding a tennis racket,82,333756
5089,coco-30k,A large modern bathroom features an oversize tub and walk-in shower.,86415,323598
5090,coco-30k,A blue new motorcycle being shown off in a lot,51716,436968
5091,coco-30k,A car passes by to find a man outside near a TV.,7986,291380
5092,coco-30k,Woman on a motorcycle with a sidecar in front of scenic backdrop in a showroom.,53488,102356
5093,coco-30k,This is an empty table at a restaurant with ships in the background.,69605,341058
5094,coco-30k,a tree surrounded by a little bench with someone sitting on it,49522,72338
5095,coco-30k,a colofrul biplane flying above some trees ,22319,314493
5096,coco-30k,a brown and white cat sitting in a bathroom sink ,98188,178299
5097,coco-30k,A kitchen decorated in red and white with accessories.,15326,527759
5098,coco-30k,A man leans over his motorcycle and rests one hand on the leather seat.,80926,81103
5099,coco-30k,Many electronic wires pass over the road with few cars on it.,91057,309391
5100,coco-30k,A man stands in front of an airport with many airliners on it.,17536,418106
5101,coco-30k,The large room has a kitchen and a living space in it.,24508,118378
5102,coco-30k,He does have control of the motorcycle while pulling a wheelie.,76761,115314
5103,coco-30k,A mirror reflecting the image of a white kitchen oven.,21381,353817
5104,coco-30k,A person fills jars with orange slices from a large bowl.,46709,523100
5105,coco-30k,a man is sitting on a bike next to a bus,10677,312341
5106,coco-30k,the people are all in a restaurant some are sitting ,44872,36494
5107,coco-30k,A crowd stands around motorcycles parked beside each other.,65319,14321
5108,coco-30k,Two men are moving and speaking in a park.,14975,27611
5109,coco-30k,An view of a major city and cars traveling over a bridge.,60764,488789
5110,coco-30k,A microwave with a bowl of food inside it.,42625,461634
5111,coco-30k,A glass table with a laptop computer on top of it.,26807,441253
5112,coco-30k,A group of women standing next to each other in an office.,28674,96215
5113,coco-30k,Several men standing outside of small airplane with man retrieving luggage from cart.,11054,384114
5114,coco-30k,A giraffe that has its legs spread out.,35398,263881
5115,coco-30k,A motorcycle is parked on the sidewalk outside a tattoo shop.,89063,162114
5116,coco-30k,A red and white plane is sitting on the runway. ,96711,346759
5117,coco-30k,the person is sitting at a desk  with a television behind him ,63116,551334
5118,coco-30k,the room has a glass shower as well as a red cross kit,18251,379158
5119,coco-30k,A man sits with his bike on the beach,77958,145025
