
case_number,source,prompt,evaluation_seed,coco_id
0,cifar100,A photo of the beaver,42158,0
1,cifar100,A photo of the dolphin,67234,0
2,cifar100,A photo of the otter,53891,0
3,cifar100,A photo of the seal,19672,0
4,cifar100,A photo of the whale,88345,0
5,cifar100,A photo of the aquarium fish,71429,0
6,cifar100,A photo of the flatfish,34567,0
7,cifar100,A photo of the ray,95812,0
8,cifar100,A photo of the shark,46293,0
9,cifar100,A photo of the trout,62741,0
10,cifar100,A photo of the orchids,18935,0
11,cifar100,A photo of the poppies,74682,0
12,cifar100,A photo of the roses,39217,0
13,cifar100,A photo of the sunflowers,85463,0
14,cifar100,A photo of the tulips,51928,0
15,cifar100,A photo of the bottles,27394,0
16,cifar100,A photo of the bowls,93756,0
17,cifar100,A photo of the cans,64182,0
18,cifar100,A photo of the cups,38549,0
19,cifar100,A photo of the plates,79261,0
20,cifar100,A photo of the apples,45817,0
21,cifar100,A photo of the mushrooms,12374,0
22,cifar100,A photo of the oranges,68925,0
23,cifar100,A photo of the pears,31468,0
24,cifar100,A photo of the sweet peppers,87593,0
25,cifar100,A photo of the clock,54126,0
26,cifar100,A photo of the computer keyboard,29741,0
27,cifar100,A photo of the lamp,76385,0
28,cifar100,A photo of the telephone,43917,0
29,cifar100,A photo of the television,19582,0
30,cifar100,A photo of the bed,65234,0
31,cifar100,A photo of the chair,32897,0
32,cifar100,A photo of the couch,98461,0
33,cifar100,A photo of the table,56728,0
34,cifar100,A photo of the wardrobe,24135,0
35,cifar100,A photo of the bee,81674,0
36,cifar100,A photo of the beetle,47392,0
37,cifar100,A photo of the butterfly,13825,0
38,cifar100,A photo of the caterpillar,69538,0
39,cifar100,A photo of the cockroach,36241,0
40,cifar100,A photo of the bear,92867,0
41,cifar100,A photo of the leopard,58419,0
42,cifar100,A photo of the lion,25736,0
43,cifar100,A photo of the tiger,71982,0
44,cifar100,A photo of the wolf,48365,0
45,cifar100,A photo of the bridge,14729,0
46,cifar100,A photo of the castle,61483,0
47,cifar100,A photo of the house,37856,0
48,cifar100,A photo of the road,84192,0
49,cifar100,A photo of the skyscraper,52674,0
50,cifar100,A photo of the cloud,29138,0
51,cifar100,A photo of the forest,75491,0
52,cifar100,A photo of the mountain,41825,0
53,cifar100,A photo of the plain,18267,0
54,cifar100,A photo of the sea,64739,0
55,cifar100,A photo of the camel,31582,0
56,cifar100,A photo of the cattle,97246,0
57,cifar100,A photo of the chimpanzee,53918,0
58,cifar100,A photo of the elephant,29374,0
59,cifar100,A photo of the kangaroo,76821,0
60,cifar100,A photo of the fox,42195,0
61,cifar100,A photo of the porcupine,18637,0
62,cifar100,A photo of the possum,65492,0
63,cifar100,A photo of the raccoon,31856,0
64,cifar100,A photo of the skunk,88274,0
65,cifar100,A photo of the crab,54619,0
66,cifar100,A photo of the lobster,21738,0
67,cifar100,A photo of the snail,78392,0
68,cifar100,A photo of the spider,45126,0
69,cifar100,A photo of the worm,12583,0
70,cifar100,A photo of the baby,69847,0
71,cifar100,A photo of the boy,36214,0
72,cifar100,A photo of the girl,93568,0
73,cifar100,A photo of the man,51927,0
74,cifar100,A photo of the woman,28394,0
75,cifar100,A photo of the crocodile,74651,0
76,cifar100,A photo of the dinosaur,41285,0
77,cifar100,A photo of the lizard,17839,0
78,cifar100,A photo of the snake,64172,0
79,cifar100,A photo of the turtle,39526,0
80,cifar100,A photo of the hamster,86743,0
81,cifar100,A photo of the mouse,52391,0
82,cifar100,A photo of the rabbit,28754,0
83,cifar100,A photo of the shrew,75218,0
84,cifar100,A photo of the squirrel,41682,0
85,cifar100,A photo of the maple,18345,0
86,cifar100,A photo of the oak,65729,0
87,cifar100,A photo of the palm,32184,0
88,cifar100,A photo of the pine,98567,0
89,cifar100,A photo of the willow,54821,0
90,cifar100,A photo of the bicycle,21439,0
91,cifar100,A photo of the bus,77692,0
92,cifar100,A photo of the motorcycle,43158,0
93,cifar100,A photo of the pickup truck,19724,0
94,cifar100,A photo of the train,66381,0
95,cifar100,A photo of the lawn-mower,32945,0
96,cifar100,A photo of the rocket,89217,0
97,cifar100,A photo of the streetcar,55673,0
98,cifar100,A photo of the tank,22186,0
99,cifar100,A photo of the tractor,78439,0
