case_number,source,prompt,evaluation_seed,celebrity
555677,mscoco,A white toilet sitting underneath a picture on a wall.,68172,
487181,mscoco,A young man crossing a street next to bikers.,58935,
309528,mscoco,a man standing on a sidewalk next to an rv,25271,
283785,mscoco,In a library children look on as costumed characters give a presentation,50045,
72050,mscoco,A city street at night with a green signal.,40334,
47435,mscoco,Some hot dogs are outside in a baggie.,91774,
121572,mscoco,a couple of buses that are lined up by some buildings,12838,
558784,mscoco,A man standing on a dirty and grass field next to a lake.,89108,
4772,mscoco,A man is staring out of a boat window.,64422,
325664,mscoco,A large brown bear swimming in a river.,83827,
295403,mscoco,A man helps a woman sit on a bike.,17063,
520482,mscoco,Two birds who are looking out of the cage they are in.,51018,
140420,mscoco,A motorcycle is parked on a dirt road in a forest.,46098,
229858,mscoco,A deer standing next to a small deer in a forest.,44979,
193504,mscoco,A man in a wetsuit on the beach with a white surfboard.,78725,
353408,mscoco,A couple of elephants washing a baby elephant in a river.,722,
517629,mscoco,White cat sitting in sink licking face in bathroom.,7999,
102872,mscoco,A man holding a birthday cake in a pan with friends.,63875,
248761,mscoco,A person hangs off the side of a passenger train.,77455,
529507,mscoco,A glass shower stall in a white bathroom with a window,85627,
442210,mscoco,A group of bags and suitcases sitting on a tile floor,43026,
198550,mscoco,a train on a train track at a train station,36869,
328098,mscoco,A traffic sign is displayed on a freeway.,85701,
272953,mscoco,A brown horse grazing on a lush green field.,22812,
496800,mscoco,Two trains pass each other near some buildings.,29321,
439774,mscoco,A man and two girls sitting on a couch with a dog.,5950,
50159,mscoco,A man and a woman cross country skiing on a snow covered trail with mountain peaks in the background.,86023,
429833,mscoco,A street filled with traffic under a blue sky.,30442,
472643,mscoco,Children cover a parking meter in a red knitted garment.,60848,
508302,mscoco,A man is sitting on a little scooter in traffic.,21721,
70351,mscoco,A package of tooth brush shaped gum on a table.,28177,
241141,mscoco,"The street sign says ""Can't Stop The Dance"".",55144,
209480,mscoco,A blue plate with a pile of vegetables on a table.,27992,
194559,mscoco,A bed with several items of cloth arranged as hearts on top.,91768,
386165,mscoco,A man in a wheel chair is walking his dog.,61892,
230212,mscoco,a nice train travels next to some trees,34142,
18295,mscoco,A train traveling down the train tracks along the country side.,40927,
210654,mscoco,A pair of shoes sitting on top of a skateboard.,69458,
14831,mscoco,A brown and white animal laying on top of a bed.,37716,
505487,mscoco,A piece of luggage is leaning against the wall.,74455,
50434,mscoco,pitcher standing on the mound watching runner on field,25432,
536831,mscoco,A man is on the ski slope on a sunny day.,38851,
570693,mscoco,A group of cows cross a desert road.,41610,
213843,mscoco,A chocolate cake with cream and wafers on top.,28886,
531581,mscoco,Three young children who appear to be impoverished stand together in the street.,31525,
408906,mscoco,Two personal sized pizzas are being prepared on a pan.,75577,
401040,mscoco,A baby giraffe standing next to an adult giraffe.,80175,
242422,mscoco,A kitchen sink with a basket of vegetables and knives beside it.,50103,
317018,mscoco,A man wearing shorts is running through the woods playing frisbee golf.,9102,
124983,mscoco,A metal pole with four different street signs hanging on it's side.,32962,
499255,mscoco,A man that is on ski's standing in the snow.,75910,
209755,mscoco,A person stirring a pot of stew with a wooden spoon.,69951,
485532,mscoco,An old truck with several years of paint schemes sits parked as if artwork.,19401,
537907,mscoco,A unique style bed with red covers and a mirror behind it.,16926,
203061,mscoco,A green truck that is parked on some grass.,23896,
393928,mscoco,A herd of sheep in an open snowy field,67306,
380906,mscoco,A bench sitting next to the ocean with purple bows on it.,97553,
550287,mscoco,A man and a woman walking walking two large dogs on a leash.,77622,
531739,mscoco,A man driving a bus down a street next to a parking lot.,21819,
493923,mscoco,Two young children playing baseball on a dirt mound.,19079,
520561,mscoco,A pizza topped with sliced of veggies and sauce.,94803,
562261,mscoco,A man stretching out yelling while catching a Frisbee.,80435,
501875,mscoco,A woman is walking with a blue umbrella.,88620,
